SampleName	SampleID	AssemblyGroup	FastqFile
AXIAL_114_Axial2022_Anemone_insitu_1434HSF7	AXIAL_114_Axial2022_Anemone_insitu_1434HSF7	AXIAL_Anemone_vent	AXIAL_114_Axial2022_Anemone_insitu_1434HSF7_S44_L002
AXIAL_115_Axial2022_Transit_insitu_1434HFS27	AXIAL_115_Axial2022_Transit_insitu_1434HFS27	AXIAL_Background_nonvent	AXIAL_115_Axial2022_Transit_insitu_1434HFS27_S31_L001
AXIAL_115_Axial2022_Transit_insitu_1434HFS27	AXIAL_115_Axial2022_Transit_insitu_1434HFS27	AXIAL_Background_nonvent	AXIAL_115_Axial2022_Transit_insitu_1434HFS27_S31_L002
AXIAL_6_Axial2013_Anemone_insitu_Anemone	AXIAL_6_Axial2013_Anemone_insitu_Anemone	AXIAL_Anemone_vent	AXIAL_6_Axial2013_Anemone_insitu_Anemone_S32_L001
AXIAL_6_Axial2013_Anemone_insitu_Anemone	AXIAL_6_Axial2013_Anemone_insitu_Anemone	AXIAL_Anemone_vent	AXIAL_6_Axial2013_Anemone_insitu_Anemone_S32_L002
GR_36_Gorda2019_BSW_insitu_BSW056	GR_36_Gorda2019_BSW_insitu_BSW056	GR_Gorda2019_nonvent	GR_36_Gorda2019_BSW_insitu_BSW056_S26_L001
GR_36_Gorda2019_BSW_insitu_BSW056	GR_36_Gorda2019_BSW_insitu_BSW056	GR_Gorda2019_nonvent	GR_36_Gorda2019_BSW_insitu_BSW056_S26_L002
GR_38_Gorda2019_Plume_insitu_Plume096	GR_38_Gorda2019_Plume_insitu_Plume096	GR_Gorda2019_nonvent	GR_38_Gorda2019_Plume_insitu_Plume096_S25_L001
GR_38_Gorda2019_Plume_insitu_Plume096	GR_38_Gorda2019_Plume_insitu_Plume096	GR_Gorda2019_nonvent	GR_38_Gorda2019_Plume_insitu_Plume096_S25_L002
GR_40_Gorda2019_VentiLatte_insitu_Vent039	GR_40_Gorda2019_VentiLatte_insitu_Vent039	GR_Gorda2019_vent	GR_40_Gorda2019_VentiLatte_insitu_Vent039_S35_L001
GR_40_Gorda2019_VentiLatte_insitu_Vent039	GR_40_Gorda2019_VentiLatte_insitu_Vent039	GR_Gorda2019_vent	GR_40_Gorda2019_VentiLatte_insitu_Vent039_S35_L002
GR_42_Gorda2019_SirVentsAlot_insitu_Vent105	GR_42_Gorda2019_SirVentsAlot_insitu_Vent105	GR_Gorda2019_vent	GR_42_Gorda2019_SirVentsAlot_insitu_Vent105_S23_L001
GR_42_Gorda2019_SirVentsAlot_insitu_Vent105	GR_42_Gorda2019_SirVentsAlot_insitu_Vent105	GR_Gorda2019_vent	GR_42_Gorda2019_SirVentsAlot_insitu_Vent105_S23_L002
GR_44_Gorda2019_MtEdwards_insitu_Vent011	GR_44_Gorda2019_MtEdwards_insitu_Vent011	GR_Gorda2019_vent	GR_44_Gorda2019_MtEdwards_insitu_Vent011_S36_L001
GR_44_Gorda2019_MtEdwards_insitu_Vent011	GR_44_Gorda2019_MtEdwards_insitu_Vent011	GR_Gorda2019_vent	GR_44_Gorda2019_MtEdwards_insitu_Vent011_S36_L002
GR_47_Gorda2019_Candelabra_insitu_Vent087	GR_47_Gorda2019_Candelabra_insitu_Vent087	GR_Gorda2019_vent	GR_47_Gorda2019_Candelabra_insitu_Vent087_S24_L001
GR_47_Gorda2019_Candelabra_insitu_Vent087	GR_47_Gorda2019_Candelabra_insitu_Vent087	GR_Gorda2019_vent	GR_47_Gorda2019_Candelabra_insitu_Vent087_S24_L002
MCR_54_VonDamm2020_MustardStand_Tf_FLP	MCR_54_VonDamm2020_MustardStand_Tf_FLP	VONDAMM_MustardStand_vent	MCR_54_VonDamm2020_MustardStand_Tf_FLP_S1_L001
MCR_54_VonDamm2020_MustardStand_Tf_FLP	MCR_54_VonDamm2020_MustardStand_Tf_FLP	VONDAMM_MustardStand_vent	MCR_54_VonDamm2020_MustardStand_Tf_FLP_S1_L002
MCR_55_VonDamm2020_ShrimpHole_Tf_FLP	MCR_55_VonDamm2020_ShrimpHole_Tf_FLP	VONDAMM_ShrimpHole_vent	MCR_55_VonDamm2020_ShrimpHole_Tf_FLP_S4_L001
